review_text,rating,date,sentiment_label,source,language
Tradisi terasa kuat. Warga lokal ramah. Mohon respect tradisi setempat.,5,2024-10-22,positive,synthetic,id
The place is unique and the Toraja culture is strong. Please respect local traditions.,4,2025-12-12,positive,synthetic,en
Not worth it: not worth the ticket price and poor facilities.,1,2025-10-05,negative,synthetic,en
The place is beautiful and the cultural heritage is strong. Be respectful and behave properly.,5,2026-03-07,positive,synthetic,en
Amazing cultural value and a peaceful atmosphere. The guide was helpful.,4,2024-12-19,positive,synthetic,en
Tempatnya bagus dan nilai budaya Toraja terasa. Mohon respect tradisi setempat.,4,2025-01-25,positive,synthetic,id
Amazing cultural value and a peaceful atmosphere. The guide was helpful.,5,2025-11-12,positive,synthetic,en
Secara umum oke. ticketing cukup tertata. Hormati tradisi.,3,2024-10-02,neutral,synthetic,id
Sangat rekomendasi untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2024-07-20,positive,synthetic,id
The place is beautiful and the cultural heritage is strong. Please respect local traditions.,5,2025-09-10,positive,synthetic,en
The place is great and the Toraja culture is strong. Please respect local traditions.,5,2025-05-09,positive,synthetic,en
Budaya Toraja terasa kuat. Warga lokal ramah. Tolong jaga etika saat berkunjung.,5,2025-03-09,positive,synthetic,id
Sangat keren untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2025-07-22,positive,synthetic,id
Terlalu penuh rombongan besar dan jadi bising. Perilaku pengunjung mengganggu.,1,2024-09-06,negative,synthetic,id
Menarik untuk dikunjungi. fasilitasnya standar dan petunjuk arah minim.,3,2025-11-14,neutral,synthetic,id
Terlalu penuh rombongan besar dan jadi susah menikmati suasana. Attitude beberapa rombongan buruk.,2,2025-12-07,negative,synthetic,id
Amazing cultural value and great scenery. Great explanations from the guide.,4,2024-08-19,positive,synthetic,en
"Lokasinya oke, tapi fasilitasnya standar. cukup ramai saat jam tertentu.",3,2024-05-09,neutral,synthetic,id
The place is amazing and the cultural heritage is strong. Please respect local traditions.,5,2026-02-17,positive,synthetic,en
Secara umum oke. ada beberapa kios. Hormati tradisi.,3,2024-08-16,neutral,synthetic,id
Tradisi terasa kuat. Warga lokal ramah. Pengunjung sebaiknya hormat dan sopan.,5,2025-07-30,positive,synthetic,id
"Interesting visit, but restrooms are basic. depends on the day.",3,2024-08-08,neutral,synthetic,en
Sangat keren untuk wisata edukasi. Guide-nya informatif.,4,2026-03-20,positive,synthetic,id
"Nice overall. not enough information boards and some commercialization, but manageable.",3,2026-01-28,neutral,synthetic,en
Sangat menarik untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2025-01-25,positive,synthetic,id
Amazing cultural value and a peaceful atmosphere. Informative tour.,5,2024-11-04,positive,synthetic,en
"Lokasinya oke, tapi area parkir sempit. lebih enak datang pagi.",3,2025-01-12,neutral,synthetic,id
Sangat keren untuk wisata edukasi. Guide-nya informatif.,4,2025-12-24,positive,synthetic,id
Upsells everywhere. It feels unpleasant for a sacred place.,1,2025-01-18,negative,synthetic,en
Tempatnya indah dan nilai budaya Toraja terasa. Mohon respect tradisi setempat.,4,2025-08-12,positive,synthetic,id
A sacred site with meaningful history. Visitors should be respectful.,5,2025-07-02,positive,synthetic,en
"Terlalu komersial. Untuk tempat sakral, ini terasa mengganggu.",2,2025-05-17,negative,synthetic,id
Tempatnya cantik dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,5,2024-11-03,positive,synthetic,id
A sacred site with wonderful history. Visitors should be respectful.,4,2024-07-03,positive,synthetic,en
Tradisi terasa kuat. Warga lokal ramah. Tolong jaga etika saat berkunjung.,4,2024-07-16,positive,synthetic,id
